2025-04-03 16:38:48 | mars_base_internal_temperature: 20 | mars_base_external_temperature: 17 | mars_base_internal_humidity: 53 | mars_base_external_illuminance: 602 | mars_base_internal_co2: 0.061 | mars_base_internal_oxygen: 4.29
2025-04-03 16:38:53 | mars_base_internal_temperature: 27 | mars_base_external_temperature: 11 | mars_base_internal_humidity: 50 | mars_base_external_illuminance: 502 | mars_base_internal_co2: 0.031 | mars_base_internal_oxygen: 5.16
2025-04-03 16:38:58 | mars_base_internal_temperature: 28 | mars_base_external_temperature: 0 | mars_base_internal_humidity: 60 | mars_base_external_illuminance: 702 | mars_base_internal_co2: 0.092 | mars_base_internal_oxygen: 6.97
2025-04-03 16:39:03 | mars_base_internal_temperature: 18 | mars_base_external_temperature: 11 | mars_base_internal_humidity: 51 | mars_base_external_illuminance: 647 | mars_base_internal_co2: 0.046 | mars_base_internal_oxygen: 6.05
2025-04-03 16:39:08 | mars_base_internal_temperature: 26 | mars_base_external_temperature: 16 | mars_base_internal_humidity: 58 | mars_base_external_illuminance: 643 | mars_base_internal_co2: 0.043 | mars_base_internal_oxygen: 5.09
2025-04-03 17:00:45 | mars_base_internal_temperature: 27 | mars_base_external_temperature: 11 | mars_base_internal_humidity: 60 | mars_base_external_illuminance: 506 | mars_base_internal_co2: 0.098 | mars_base_internal_oxygen: 4.06
2025-04-03 17:00:50 | mars_base_internal_temperature: 25 | mars_base_external_temperature: 17 | mars_base_internal_humidity: 53 | mars_base_external_illuminance: 659 | mars_base_internal_co2: 0.066 | mars_base_internal_oxygen: 6.12
2025-04-03 17:00:55 | mars_base_internal_temperature: 30 | mars_base_external_temperature: 21 | mars_base_internal_humidity: 52 | mars_base_external_illuminance: 557 | mars_base_internal_co2: 0.05 | mars_base_internal_oxygen: 5.53
2025-04-03 17:01:00 | mars_base_internal_temperature: 29 | mars_base_external_temperature: 14 | mars_base_internal_humidity: 59 | mars_base_external_illuminance: 563 | mars_base_internal_co2: 0.058 | mars_base_internal_oxygen: 4.77
2025-04-03 17:04:23 | mars_base_internal_temperature: 22 | mars_base_external_temperature: 9 | mars_base_internal_humidity: 54 | mars_base_external_illuminance: 536 | mars_base_internal_co2: 0.082 | mars_base_internal_oxygen: 5.92
2025-04-03 17:04:28 | mars_base_internal_temperature: 30 | mars_base_external_temperature: 19 | mars_base_internal_humidity: 56 | mars_base_external_illuminance: 564 | mars_base_internal_co2: 0.042 | mars_base_internal_oxygen: 4.13
2025-04-03 17:04:33 | mars_base_internal_temperature: 23 | mars_base_external_temperature: 9 | mars_base_internal_humidity: 57 | mars_base_external_illuminance: 662 | mars_base_internal_co2: 0.026 | mars_base_internal_oxygen: 4.32
2025-04-03 17:04:37 | mars_base_internal_temperature: 20 | mars_base_external_temperature: 15 | mars_base_internal_humidity: 59 | mars_base_external_illuminance: 665 | mars_base_internal_co2: 0.053 | mars_base_internal_oxygen: 6.03
2025-04-03 17:04:37 | mars_base_internal_temperature: 26 | mars_base_external_temperature: 6 | mars_base_internal_humidity: 59 | mars_base_external_illuminance: 715 | mars_base_internal_co2: 0.058 | mars_base_internal_oxygen: 6.04
2025-04-03 17:04:42 | mars_base_internal_temperature: 24 | mars_base_external_temperature: 19 | mars_base_internal_humidity: 60 | mars_base_external_illuminance: 526 | mars_base_internal_co2: 0.081 | mars_base_internal_oxygen: 6.1
2025-04-03 17:04:42 | mars_base_internal_temperature: 21 | mars_base_external_temperature: 8 | mars_base_internal_humidity: 54 | mars_base_external_illuminance: 640 | mars_base_internal_co2: 0.037 | mars_base_internal_oxygen: 6.83
2025-04-03 17:04:47 | mars_base_internal_temperature: 19 | mars_base_external_temperature: 9 | mars_base_internal_humidity: 50 | mars_base_external_illuminance: 645 | mars_base_internal_co2: 0.041 | mars_base_internal_oxygen: 4.28
2025-04-03 17:04:52 | mars_base_internal_temperature: 25 | mars_base_external_temperature: 6 | mars_base_internal_humidity: 60 | mars_base_external_illuminance: 678 | mars_base_internal_co2: 0.091 | mars_base_internal_oxygen: 6.09
